civ,patch_from,patch_to,delta_win_rate,flagged_ge_5pp
portuguese,82587,83607,0.0057,False
portuguese,83607,87863,0.0026,False
portuguese,87863,93001,0.0002,False
portuguese,93001,95810,0.0042,False
portuguese,95810,99311,0.0102,False
portuguese,99311,104954,0.0018,False
portuguese,104954,107882,0.0009,False
portuguese,107882,111772,0.002,False
portuguese,111772,125283,0.0073,False
portuguese,125283,141935,0.0034,False
portuguese,141935,143421,0.007,False
portuguese,143421,147949,0.0006,False
portuguese,147949,153015,0.0029,False
portuguese,153015,162286,0.0074,False
saracens,66692,73855,0.0319,False
saracens,73855,78174,0.0174,False
saracens,78174,81058,0.0049,False
saracens,81058,82587,0.0022,False
saracens,82587,83607,0.0,False
saracens,83607,87863,0.0031,False
saracens,87863,93001,0.0013,False
saracens,93001,95810,0.0152,False
saracens,95810,99311,0.0042,False
saracens,99311,104954,0.009,False
saracens,104954,107882,0.0057,False
saracens,107882,111772,0.0071,False
saracens,111772,125283,0.0058,False
saracens,125283,141935,0.0004,False
saracens,141935,143421,0.0056,False
saracens,143421,147949,0.0011,False
saracens,147949,153015,0.0021,False
saracens,153015,162286,0.0016,False
sicilians,66692,73855,0.0232,False
sicilians,73855,78174,0.0213,False
sicilians,78174,81058,0.0037,False
sicilians,81058,82587,0.0054,False
sicilians,82587,83607,0.0072,False
sicilians,83607,87863,0.0062,False
sicilians,87863,93001,0.0345,False
sicilians,93001,95810,0.0094,False
sicilians,95810,99311,0.005,False
sicilians,99311,104954,0.0182,False
sicilians,104954,107882,0.0124,False
sicilians,107882,111772,0.0098,False
sicilians,111772,125283,0.0075,False
sicilians,125283,141935,0.0244,False
sicilians,141935,143421,0.0052,False
sicilians,143421,147949,0.0082,False
sicilians,147949,153015,0.0095,False
sicilians,153015,162286,0.0066,False
slavs,66692,73855,0.0047,False
slavs,73855,78174,0.0073,False
slavs,78174,81058,0.017,False
slavs,81058,82587,0.009,False
slavs,82587,83607,0.0052,False
slavs,83607,87863,0.0091,False
slavs,87863,93001,0.0097,False
slavs,93001,95810,0.0244,False
slavs,95810,99311,0.0034,False
slavs,99311,104954,0.0081,False
slavs,104954,107882,0.0021,False
slavs,107882,111772,0.001,False
slavs,111772,125283,0.0003,False
slavs,125283,141935,0.0113,False
slavs,141935,143421,0.0025,False
slavs,143421,147949,0.0007,False
slavs,147949,153015,0.0009,False
slavs,153015,162286,0.0038,False
spanish,66692,73855,0.0002,False
spanish,73855,78174,0.0066,False
spanish,78174,81058,0.0057,False
spanish,81058,82587,0.0017,False
spanish,82587,83607,0.0021,False
spanish,83607,87863,0.0,False
spanish,87863,93001,0.002,False
spanish,93001,95810,0.0044,False
spanish,95810,99311,0.0042,False
spanish,99311,104954,0.0019,False
spanish,104954,107882,0.0004,False
spanish,107882,111772,0.0009,False
spanish,111772,125283,0.0031,False
spanish,125283,141935,0.0013,False
spanish,141935,143421,0.0009,False
spanish,143421,147949,0.0011,False
spanish,147949,153015,0.002,False
spanish,153015,162286,0.0053,False
tatars,66692,73855,0.0061,False
tatars,73855,78174,0.0013,False
tatars,78174,81058,0.0057,False
tatars,81058,82587,0.0001,False
tatars,82587,83607,0.0001,False
tatars,83607,87863,0.0011,False
tatars,87863,93001,0.0022,False
tatars,93001,95810,0.004,False
tatars,95810,99311,0.0044,False
tatars,99311,104954,0.0004,False
tatars,104954,107882,0.0006,False
tatars,107882,111772,0.0023,False
tatars,111772,125283,0.004,False
tatars,125283,141935,0.002,False
tatars,141935,143421,0.0117,False
tatars,143421,147949,0.0082,False
tatars,147949,153015,0.0029,False
tatars,153015,162286,0.0108,False
teutons,66692,73855,0.0103,False
teutons,73855,78174,0.0039,False
teutons,78174,81058,0.0076,False
teutons,81058,82587,0.0152,False
teutons,82587,83607,0.0023,False
teutons,83607,87863,0.0031,False
teutons,87863,93001,0.005,False
teutons,93001,95810,0.006,False
teutons,95810,99311,0.0005,False
teutons,99311,104954,0.0079,False
teutons,104954,107882,0.0018,False
teutons,107882,111772,0.0068,False
teutons,111772,125283,0.0021,False
teutons,125283,141935,0.0021,False
teutons,141935,143421,0.0001,False
teutons,143421,147949,0.0105,False
teutons,147949,153015,0.0168,False
teutons,153015,162286,0.0038,False
turks,66692,73855,0.0073,False
turks,73855,78174,0.013,False
turks,78174,81058,0.0021,False
turks,81058,82587,0.0081,False
turks,82587,83607,0.0075,False
turks,83607,87863,0.0105,False
turks,87863,93001,0.0088,False
turks,93001,95810,0.0071,False
turks,95810,99311,0.0043,False
turks,99311,104954,0.0103,False
turks,104954,107882,0.0044,False
turks,107882,111772,0.0023,False
turks,111772,125283,0.0072,False
turks,125283,141935,0.0055,False
turks,141935,143421,0.001,False
turks,143421,147949,0.0031,False
turks,147949,153015,0.0083,False
turks,153015,162286,0.0016,False
vietnamese,66692,73855,0.0155,False
vietnamese,73855,78174,0.0087,False
vietnamese,78174,81058,0.0062,False
vietnamese,81058,82587,0.0082,False
vietnamese,82587,83607,0.0029,False
vietnamese,83607,87863,0.0154,False
vietnamese,87863,93001,0.0018,False
vietnamese,93001,95810,0.0032,False
vietnamese,95810,99311,0.0032,False
vietnamese,99311,104954,0.0106,False
vietnamese,104954,107882,0.0011,False
vietnamese,107882,111772,0.006,False
vietnamese,111772,125283,0.0104,False
vietnamese,125283,141935,0.0043,False
vietnamese,141935,143421,0.0075,False
vietnamese,143421,147949,0.0065,False
vietnamese,147949,153015,0.0001,False
vietnamese,153015,162286,0.0027,False
vikings,66692,73855,0.0085,False
vikings,73855,78174,0.0101,False
vikings,78174,81058,0.0043,False
vikings,81058,82587,0.0043,False
vikings,82587,83607,0.0095,False
vikings,83607,87863,0.0002,False
vikings,87863,93001,0.0009,False
vikings,93001,95810,0.001,False
vikings,95810,99311,0.0087,False
vikings,99311,104954,0.0042,False
vikings,104954,107882,0.0068,False
vikings,107882,111772,0.0023,False
vikings,111772,125283,0.003,False
vikings,125283,141935,0.0157,False
vikings,141935,143421,0.0113,False
vikings,143421,147949,0.0075,False
vikings,147949,153015,0.008,False
vikings,153015,162286,0.003,False
romans,87863,93001,0.0081,False
romans,93001,95810,0.0056,False
romans,95810,99311,0.0016,False
romans,99311,104954,0.0048,False
romans,104954,107882,0.0117,False
romans,107882,111772,0.006,False
romans,111772,125283,0.0007,False
romans,125283,141935,0.0154,False
romans,141935,143421,0.0028,False
romans,143421,147949,0.0039,False
romans,147949,153015,0.0,False
romans,153015,162286,0.0037,False
armenians,93001,95810,0.0181,False
armenians,95810,99311,0.0311,False
armenians,99311,104954,0.0106,False
armenians,104954,107882,0.0111,False
armenians,107882,111772,0.0014,False
armenians,111772,125283,0.0035,False
armenians,125283,141935,0.0135,False
armenians,141935,143421,0.001,False
armenians,143421,147949,0.0011,False
armenians,147949,153015,0.0136,False
armenians,153015,162286,0.0055,False
georgians,93001,95810,0.0196,False
georgians,95810,99311,0.004,False
georgians,99311,104954,0.0023,False
georgians,104954,107882,0.0592,True
georgians,107882,111772,0.0071,False
georgians,111772,125283,0.0058,False
georgians,125283,141935,0.0307,False
georgians,141935,143421,0.0118,False
georgians,143421,147949,0.008,False
georgians,147949,153015,0.0012,False
georgians,153015,162286,0.0011,False
jurchens,143421,147949,0.0138,False
khitans,143421,147949,0.0485,False
shu,143421,147949,0.0076,False
shu,147949,153015,0.0198,False
shu,153015,162286,0.0226,False
wei,143421,147949,0.0536,True
wei,147949,153015,0.0167,False
wei,153015,162286,0.0008,False
wu,143421,147949,0.0009,False
wu,147949,153015,0.0063,False
wu,153015,162286,0.0155,False
