patch_number,civ,n_matches,win_rate
99311,hindustanis,55410,0.529417072730554
99311,huns,72692,0.5110603642766742
99311,incas,58328,0.5118467974214785
99311,italians,45853,0.49161450722962513
99311,japanese,53733,0.4870377607801537
99311,khmer,78053,0.4874508346892496
99311,koreans,37502,0.4632552930510373
99311,lithuanians,87656,0.5038331660125946
99311,magyars,97229,0.5025763918172562
99311,malay,44169,0.5153161719758201
99311,malians,55374,0.5113410625925524
99311,mayans,69330,0.4816385403144382
99311,mongols,169015,0.5150962932284117
99311,persians,111282,0.5167412519544939
99311,poles,41245,0.4901200145472178
99311,portuguese,76911,0.49268635175722586
99311,romans,38099,0.531326281529699
99311,saracens,51551,0.48586836336831485
99311,sicilians,38476,0.5187909346085872
99311,slavs,50825,0.5095327102803738
99311,spanish,89990,0.5081231247916436
99311,tatars,42821,0.47348263702389015
99311,teutons,80237,0.50522826127597
99311,turks,83348,0.5194725728271824
99311,vietnamese,58094,0.46596894687919577
99311,vikings,46023,0.5098320405014883
104954,armenians,10409,0.4801613987895091
104954,aztecs,13664,0.469847775175644
104954,bengalis,4824,0.4660033167495854
104954,berbers,12652,0.494941511223522
104954,bohemians,12886,0.5222722334316312
104954,britons,26380,0.4794920394238059
104954,bulgarians,15892,0.49949660206393154
104954,burgundians,12382,0.4762558552737845
104954,burmese,7821,0.46924945659122874
104954,byzantines,21418,0.4905686805490709
104954,celts,14568,0.507550796265788
104954,chinese,13222,0.4795038572076842
104954,cumans,17795,0.5051980893509412
104954,dravidians,5104,0.47962382445141066
104954,ethiopians,23422,0.5070446588677312
104954,franks,44844,0.5071804477745072
104954,georgians,7178,0.45904151574254665
104954,goths,19115,0.5069317290086319
104954,gurjaras,7124,0.485120718697361
104954,hindustanis,17956,0.51459122298953
104954,huns,20984,0.5140583301563095
104954,incas,14811,0.5096212274660725
104954,italians,13402,0.48373377107894344
104954,japanese,14839,0.4925534065637846
104954,khmer,21724,0.48844595838703736
104954,koreans,11062,0.4795696980654493
104954,lithuanians,23587,0.5040064442277525
104954,magyars,29807,0.49776898044083606
104954,malay,12466,0.5157227659233115
104954,malians,16868,0.517429452217216
104954,mayans,19363,0.49284718277126477
104954,mongols,57421,0.5209766461747445
104954,persians,30303,0.5182985182985183
104954,poles,10905,0.47556166895919305
104954,portuguese,19008,0.49452861952861954
104954,romans,10877,0.5360853176427324
104954,saracens,14298,0.49482445097216393
104954,sicilians,10347,0.500628201411037
104954,slavs,12994,0.5013852547329537
104954,spanish,26638,0.5100608153765298
104954,tatars,12395,0.47309398951189996
104954,teutons,22667,0.4973750386023735
104954,turks,22169,0.5091794848662546
